"","hour","starts","ends","high"
"1",1,47,32,6755
"2",2,20,13,6755
"3",3,4,5,6755
"4",4,11,2,6755
"5",5,44,26,6755
"6",6,1945,293,6755
"7",7,3463,575,6755
"8",8,3015,662,6755
"9",9,1083,348,6755
"10",10,489,431,6755
"11",11,400,459,6755
"12",12,464,557,6755
"13",13,442,715,6755
"14",14,494,937,6755
"15",15,567,1871,6755
"16",16,818,6755,6755
"17",17,1210,6152,6755
"18",18,798,1826,6755
"19",19,448,654,6755
"20",20,253,458,6755
"21",21,171,205,6755
"22",22,258,162,6755
"23",23,162,86,6755
"24",24,0,0,6755
