"","hour","starts","ends","high"
"1",1,23,17,1021
"2",2,26,14,1021
"3",3,9,8,1021
"4",4,6,2,1021
"5",5,24,37,1021
"6",6,39,176,1021
"7",7,188,351,1021
"8",8,245,1021,1021
"9",9,169,316,1021
"10",10,186,166,1021
"11",11,229,260,1021
"12",12,338,313,1021
"13",13,346,324,1021
"14",14,337,307,1021
"15",15,332,365,1021
"16",16,556,390,1021
"17",17,977,459,1021
"18",18,617,299,1021
"19",19,346,237,1021
"20",20,235,165,1021
"21",21,145,100,1021
"22",22,102,59,1021
"23",23,62,63,1021
"24",24,0,0,1021
