"","hour","starts","ends","high"
"1",1,45,59,1660
"2",2,32,33,1660
"3",3,17,10,1660
"4",4,7,11,1660
"5",5,49,44,1660
"6",6,207,124,1660
"7",7,735,425,1660
"8",8,745,571,1660
"9",9,518,514,1660
"10",10,532,686,1660
"11",11,668,838,1660
"12",12,851,992,1660
"13",13,951,1060,1660
"14",14,1035,1204,1660
"15",15,1115,1127,1660
"16",16,1138,1370,1660
"17",17,1438,1660,1660
"18",18,1332,1118,1660
"19",19,926,672,1660
"20",20,561,400,1660
"21",21,308,301,1660
"22",22,209,232,1660
"23",23,121,115,1660
"24",24,0,0,1660
