"","hour","starts","ends","high"
"1",1,47,37,1260
"2",2,19,21,1260
"3",3,11,10,1260
"4",4,18,8,1260
"5",5,190,52,1260
"6",6,338,191,1260
"7",7,534,559,1260
"8",8,1136,1021,1260
"9",9,818,489,1260
"10",10,514,466,1260
"11",11,475,497,1260
"12",12,550,575,1260
"13",13,521,535,1260
"14",14,547,603,1260
"15",15,598,671,1260
"16",16,719,826,1260
"17",17,1084,1260,1260
"18",18,894,991,1260
"19",19,725,682,1260
"20",20,415,495,1260
"21",21,249,300,1260
"22",22,204,188,1260
"23",23,141,129,1260
"24",24,0,0,1260
