"","hour","starts","ends","high"
"1",1,49,33,987
"2",2,41,29,987
"3",3,15,4,987
"4",4,6,8,987
"5",5,45,14,987
"6",6,223,74,987
"7",7,293,229,987
"8",8,728,448,987
"9",9,504,380,987
"10",10,328,400,987
"11",11,421,524,987
"12",12,639,639,987
"13",13,604,584,987
"14",14,513,649,987
"15",15,583,712,987
"16",16,696,885,987
"17",17,836,987,987
"18",18,728,644,987
"19",19,501,465,987
"20",20,343,313,987
"21",21,244,267,987
"22",22,174,202,987
"23",23,80,94,987
"24",24,0,0,987
