"","hour","starts","ends","high"
"1",1,88,43,2392
"2",2,49,24,2392
"3",3,10,6,2392
"4",4,14,19,2392
"5",5,76,206,2392
"6",6,465,524,2392
"7",7,970,1131,2392
"8",8,2054,2392,2392
"9",9,703,726,2392
"10",10,432,415,2392
"11",11,452,485,2392
"12",12,653,683,2392
"13",13,541,556,2392
"14",14,558,586,2392
"15",15,527,1056,2392
"16",16,1043,1142,2392
"17",17,1985,1537,2392
"18",18,1549,1066,2392
"19",19,730,520,2392
"20",20,448,327,2392
"21",21,285,255,2392
"22",22,200,180,2392
"23",23,147,110,2392
"24",24,0,0,2392
