"","hour","starts","ends","high"
"1",1,26,34,1080
"2",2,11,22,1080
"3",3,2,7,1080
"4",4,4,1,1080
"5",5,64,6,1080
"6",6,261,39,1080
"7",7,767,97,1080
"8",8,763,75,1080
"9",9,277,82,1080
"10",10,176,109,1080
"11",11,171,149,1080
"12",12,185,233,1080
"13",13,198,225,1080
"14",14,200,234,1080
"15",15,205,260,1080
"16",16,174,550,1080
"17",17,235,1080,1080
"18",18,197,446,1080
"19",19,134,285,1080
"20",20,79,138,1080
"21",21,64,80,1080
"22",22,47,80,1080
"23",23,25,62,1080
"24",24,0,0,1080
