"","hour","starts","ends","high"
"1",1,65,39,1885
"2",2,63,22,1885
"3",3,15,9,1885
"4",4,4,37,1885
"5",5,26,65,1885
"6",6,72,502,1885
"7",7,345,1149,1885
"8",8,503,1405,1885
"9",9,403,543,1885
"10",10,484,583,1885
"11",11,553,670,1885
"12",12,698,709,1885
"13",13,797,785,1885
"14",14,665,735,1885
"15",15,801,811,1885
"16",16,1390,961,1885
"17",17,1885,1167,1885
"18",18,1058,758,1885
"19",19,645,455,1885
"20",20,384,324,1885
"21",21,255,205,1885
"22",22,219,164,1885
"23",23,138,102,1885
"24",24,0,0,1885
