"","hour","starts","ends","high"
"1",1,24,53,1114
"2",2,10,33,1114
"3",3,7,5,1114
"4",4,20,5,1114
"5",5,45,4,1114
"6",6,188,32,1114
"7",7,587,112,1114
"8",8,1114,256,1114
"9",9,555,149,1114
"10",10,323,123,1114
"11",11,239,178,1114
"12",12,305,241,1114
"13",13,293,228,1114
"14",14,268,255,1114
"15",15,236,280,1114
"16",16,262,445,1114
"17",17,397,969,1114
"18",18,360,702,1114
"19",19,314,596,1114
"20",20,219,401,1114
"21",21,146,306,1114
"22",22,113,248,1114
"23",23,81,164,1114
"24",24,0,0,1114
