"","hour","starts","ends","high"
"1",1,78,51,1103
"2",2,67,47,1103
"3",3,25,20,1103
"4",4,8,18,1103
"5",5,36,161,1103
"6",6,146,241,1103
"7",7,279,312,1103
"8",8,663,680,1103
"9",9,352,514,1103
"10",10,410,443,1103
"11",11,365,508,1103
"12",12,500,675,1103
"13",13,579,598,1103
"14",14,513,556,1103
"15",15,546,630,1103
"16",16,741,780,1103
"17",17,1103,1038,1103
"18",18,960,817,1103
"19",19,682,519,1103
"20",20,472,369,1103
"21",21,326,276,1103
"22",22,321,226,1103
"23",23,147,119,1103
"24",24,0,0,1103
