"","hour","starts","ends","high"
"1",1,37,24,1587
"2",2,27,8,1587
"3",3,4,3,1587
"4",4,5,8,1587
"5",5,41,18,1587
"6",6,588,84,1587
"7",7,911,218,1587
"8",8,994,694,1587
"9",9,470,455,1587
"10",10,326,361,1587
"11",11,320,483,1587
"12",12,455,573,1587
"13",13,598,590,1587
"14",14,595,712,1587
"15",15,590,869,1587
"16",16,749,1252,1587
"17",17,1145,1587,1587
"18",18,776,769,1587
"19",19,515,491,1587
"20",20,366,293,1587
"21",21,268,204,1587
"22",22,237,184,1587
"23",23,96,61,1587
"24",24,0,0,1587
