"","hour","starts","ends","high"
"1",1,5,33,1070
"2",2,6,9,1070
"3",3,3,1,1070
"4",4,1,2,1070
"5",5,35,42,1070
"6",6,215,12,1070
"7",7,636,48,1070
"8",8,1070,132,1070
"9",9,415,156,1070
"10",10,265,129,1070
"11",11,241,158,1070
"12",12,200,201,1070
"13",13,194,224,1070
"14",14,179,214,1070
"15",15,178,226,1070
"16",16,229,354,1070
"17",17,278,895,1070
"18",18,268,685,1070
"19",19,168,368,1070
"20",20,102,287,1070
"21",21,56,218,1070
"22",22,42,100,1070
"23",23,25,106,1070
"24",24,0,0,1070
