"","hour","starts","ends","high"
"1",1,20,20,1283
"2",2,8,4,1283
"3",3,6,2,1283
"4",4,1,1,1283
"5",5,8,2,1283
"6",6,50,29,1283
"7",7,171,407,1283
"8",8,554,1283,1283
"9",9,341,428,1283
"10",10,199,274,1283
"11",11,210,265,1283
"12",12,303,283,1283
"13",13,323,322,1283
"14",14,294,309,1283
"15",15,310,277,1283
"16",16,444,358,1283
"17",17,998,515,1283
"18",18,598,437,1283
"19",19,387,213,1283
"20",20,212,121,1283
"21",21,116,80,1283
"22",22,77,89,1283
"23",23,35,45,1283
"24",24,0,0,1283
