"","hour","starts","ends","high"
"1",1,61,101,2163
"2",2,26,61,2163
"3",3,14,23,2163
"4",4,34,8,2163
"5",5,83,24,2163
"6",6,259,50,2163
"7",7,1028,271,2163
"8",8,2163,479,2163
"9",9,1216,231,2163
"10",10,684,261,2163
"11",11,594,348,2163
"12",12,672,568,2163
"13",13,647,501,2163
"14",14,557,558,2163
"15",15,513,627,2163
"16",16,502,920,2163
"17",17,732,1601,2163
"18",18,709,1461,2163
"19",19,537,1123,2163
"20",20,433,756,2163
"21",21,307,517,2163
"22",22,236,394,2163
"23",23,186,260,2163
"24",24,0,0,2163
