"","hour","starts","ends","high"
"1",1,37,41,929
"2",2,13,23,929
"3",3,10,8,929
"4",4,12,3,929
"5",5,39,13,929
"6",6,128,45,929
"7",7,543,279,929
"8",8,872,415,929
"9",9,680,402,929
"10",10,515,398,929
"11",11,510,514,929
"12",12,541,584,929
"13",13,510,559,929
"14",14,523,524,929
"15",15,542,522,929
"16",16,674,711,929
"17",17,772,929,929
"18",18,615,861,929
"19",19,546,666,929
"20",20,444,407,929
"21",21,305,275,929
"22",22,140,197,929
"23",23,78,137,929
"24",24,0,0,929
