"","hour","starts","ends","high"
"1",1,24,27,1283
"2",2,20,12,1283
"3",3,16,6,1283
"4",4,4,5,1283
"5",5,24,62,1283
"6",6,224,146,1283
"7",7,720,170,1283
"8",8,864,316,1283
"9",9,335,226,1283
"10",10,269,217,1283
"11",11,257,314,1283
"12",12,407,444,1283
"13",13,424,421,1283
"14",14,409,345,1283
"15",15,349,392,1283
"16",16,420,720,1283
"17",17,594,1283,1283
"18",18,591,873,1283
"19",19,488,533,1283
"20",20,320,347,1283
"21",21,194,184,1283
"22",22,146,107,1283
"23",23,65,61,1283
"24",24,0,0,1283
