"","hour","starts","ends","high"
"1",1,29,10,1210
"2",2,25,10,1210
"3",3,10,3,1210
"4",4,1,15,1210
"5",5,13,102,1210
"6",6,44,497,1210
"7",7,274,1104,1210
"8",8,522,957,1210
"9",9,306,355,1210
"10",10,331,299,1210
"11",11,472,394,1210
"12",12,609,484,1210
"13",13,556,529,1210
"14",14,545,514,1210
"15",15,678,577,1210
"16",16,1210,690,1210
"17",17,1144,746,1210
"18",18,632,480,1210
"19",19,420,298,1210
"20",20,233,168,1210
"21",21,153,91,1210
"22",22,93,98,1210
"23",23,57,67,1210
"24",24,0,0,1210
