"","hour","starts","ends","high"
"1",1,4,35,1122
"2",2,2,16,1122
"3",3,1,3,1122
"4",4,6,34,1122
"5",5,44,170,1122
"6",6,127,707,1122
"7",7,415,1122,1122
"8",8,867,1116,1122
"9",9,412,535,1122
"10",10,264,298,1122
"11",11,348,305,1122
"12",12,419,311,1122
"13",13,430,321,1122
"14",14,367,339,1122
"15",15,733,289,1122
"16",16,1070,451,1122
"17",17,930,613,1122
"18",18,691,471,1122
"19",19,417,326,1122
"20",20,238,257,1122
"21",21,94,190,1122
"22",22,69,189,1122
"23",23,79,80,1122
"24",24,0,0,1122
