"","hour","starts","ends","high"
"1",1,20,3,1401
"2",2,11,0,1401
"3",3,2,4,1401
"4",4,5,1,1401
"5",5,2,87,1401
"6",6,65,460,1401
"7",7,220,1401,1401
"8",8,388,1188,1401
"9",9,250,539,1401
"10",10,126,177,1401
"11",11,211,170,1401
"12",12,290,282,1401
"13",13,306,213,1401
"14",14,255,180,1401
"15",15,346,197,1401
"16",16,1039,329,1401
"17",17,1342,364,1401
"18",18,468,140,1401
"19",19,204,64,1401
"20",20,103,74,1401
"21",21,48,17,1401
"22",22,38,36,1401
"23",23,33,9,1401
"24",24,0,0,1401
