"","hour","starts","ends","high"
"1",1,39,27,1061
"2",2,12,14,1061
"3",3,2,6,1061
"4",4,18,2,1061
"5",5,197,6,1061
"6",6,430,29,1061
"7",7,993,39,1061
"8",8,740,68,1061
"9",9,182,96,1061
"10",10,176,121,1061
"11",11,242,166,1061
"12",12,282,180,1061
"13",13,250,218,1061
"14",14,211,187,1061
"15",15,162,243,1061
"16",16,187,484,1061
"17",17,287,1061,1061
"18",18,250,750,1061
"19",19,207,399,1061
"20",20,120,231,1061
"21",21,82,152,1061
"22",22,58,117,1061
"23",23,46,59,1061
"24",24,0,0,1061
