"","hour","starts","ends","high"
"1",1,86,61,2740
"2",2,50,32,2740
"3",3,20,13,2740
"4",4,14,12,2740
"5",5,20,60,2740
"6",6,62,368,2740
"7",7,261,1608,2740
"8",8,473,2740,2740
"9",9,477,1660,2740
"10",10,520,903,2740
"11",11,755,1061,2740
"12",12,1045,1258,2740
"13",13,1090,1080,2740
"14",14,1173,906,2740
"15",15,1334,862,2740
"16",16,2222,1100,2740
"17",17,2031,899,2740
"18",18,1458,743,2740
"19",19,1026,488,2740
"20",20,705,377,2740
"21",21,458,282,2740
"22",22,366,209,2740
"23",23,248,150,2740
"24",24,0,0,2740
