"","hour","starts","ends","high"
"1",1,59,50,1349
"2",2,36,27,1349
"3",3,9,0,1349
"4",4,4,8,1349
"5",5,110,18,1349
"6",6,417,32,1349
"7",7,863,207,1349
"8",8,1011,333,1349
"9",9,455,398,1349
"10",10,333,277,1349
"11",11,414,402,1349
"12",12,436,404,1349
"13",13,423,409,1349
"14",14,390,462,1349
"15",15,373,547,1349
"16",16,438,821,1349
"17",17,518,1349,1349
"18",18,557,852,1349
"19",19,392,491,1349
"20",20,296,341,1349
"21",21,232,229,1349
"22",22,257,152,1349
"23",23,156,174,1349
"24",24,0,0,1349
