"","hour","starts","ends","high"
"1",1,47,161,2308
"2",2,30,93,2308
"3",3,21,44,2308
"4",4,15,14,2308
"5",5,73,49,2308
"6",6,262,129,2308
"7",7,758,502,2308
"8",8,2069,1084,2308
"9",9,2308,872,2308
"10",10,1494,470,2308
"11",11,1124,671,2308
"12",12,1192,1014,2308
"13",13,1028,1058,2308
"14",14,930,910,2308
"15",15,841,985,2308
"16",16,1442,1452,2308
"17",17,1453,1673,2308
"18",18,1159,1758,2308
"19",19,949,1427,2308
"20",20,771,1127,2308
"21",21,497,967,2308
"22",22,267,792,2308
"23",23,210,603,2308
"24",24,0,0,2308
