"","hour","starts","ends","high"
"1",1,23,4,1247
"2",2,10,3,1247
"3",3,3,4,1247
"4",4,1,3,1247
"5",5,6,27,1247
"6",6,28,352,1247
"7",7,99,667,1247
"8",8,221,1247,1247
"9",9,106,481,1247
"10",10,188,200,1247
"11",11,264,284,1247
"12",12,304,369,1247
"13",13,347,310,1247
"14",14,276,231,1247
"15",15,400,277,1247
"16",16,781,279,1247
"17",17,904,417,1247
"18",18,544,365,1247
"19",19,310,259,1247
"20",20,245,161,1247
"21",21,140,123,1247
"22",22,113,71,1247
"23",23,69,39,1247
"24",24,0,0,1247
