"","hour","starts","ends","high"
"1",1,29,13,1625
"2",2,34,4,1625
"3",3,12,3,1625
"4",4,8,54,1625
"5",5,41,309,1625
"6",6,44,1034,1625
"7",7,153,1275,1625
"8",8,410,1625,1625
"9",9,319,680,1625
"10",10,281,434,1625
"11",11,332,355,1625
"12",12,375,350,1625
"13",13,427,361,1625
"14",14,488,321,1625
"15",15,688,331,1625
"16",16,1234,360,1625
"17",17,1078,423,1625
"18",18,669,323,1625
"19",19,511,226,1625
"20",20,286,198,1625
"21",21,188,181,1625
"22",22,148,138,1625
"23",23,122,48,1625
"24",24,0,0,1625
