"","hour","starts","ends","high"
"1",1,8,46,1707
"2",2,7,32,1707
"3",3,0,8,1707
"4",4,2,7,1707
"5",5,106,30,1707
"6",6,188,44,1707
"7",7,488,203,1707
"8",8,1193,395,1707
"9",9,937,404,1707
"10",10,680,507,1707
"11",11,708,577,1707
"12",12,691,714,1707
"13",13,688,752,1707
"14",14,662,820,1707
"15",15,728,999,1707
"16",16,905,1308,1707
"17",17,1138,1707,1707
"18",18,1201,1412,1707
"19",19,842,965,1707
"20",20,623,753,1707
"21",21,420,464,1707
"22",22,113,183,1707
"23",23,48,136,1707
"24",24,0,0,1707
