"","hour","starts","ends","high"
"1",1,11,43,1327
"2",2,19,23,1327
"3",3,3,8,1327
"4",4,5,6,1327
"5",5,85,10,1327
"6",6,406,39,1327
"7",7,976,47,1327
"8",8,1111,56,1327
"9",9,206,73,1327
"10",10,152,121,1327
"11",11,214,171,1327
"12",12,257,257,1327
"13",13,235,247,1327
"14",14,181,256,1327
"15",15,167,295,1327
"16",16,207,871,1327
"17",17,316,1327,1327
"18",18,348,608,1327
"19",19,205,410,1327
"20",20,137,273,1327
"21",21,76,161,1327
"22",22,43,144,1327
"23",23,38,93,1327
"24",24,0,0,1327
