"","hour","starts","ends","high"
"1",1,43,42,1314
"2",2,20,31,1314
"3",3,14,12,1314
"4",4,21,5,1314
"5",5,49,45,1314
"6",6,122,90,1314
"7",7,404,209,1314
"8",8,760,352,1314
"9",9,417,333,1314
"10",10,373,407,1314
"11",11,476,532,1314
"12",12,498,666,1314
"13",13,572,612,1314
"14",14,598,708,1314
"15",15,688,783,1314
"16",16,705,933,1314
"17",17,909,1314,1314
"18",18,939,1051,1314
"19",19,807,704,1314
"20",20,578,432,1314
"21",21,452,254,1314
"22",22,298,184,1314
"23",23,156,136,1314
"24",24,0,0,1314
