"","hour","starts","ends","high"
"1",1,96,81,1296
"2",2,68,39,1296
"3",3,18,13,1296
"4",4,17,8,1296
"5",5,38,50,1296
"6",6,139,134,1296
"7",7,494,591,1296
"8",8,1296,911,1296
"9",9,858,609,1296
"10",10,659,542,1296
"11",11,666,688,1296
"12",12,717,686,1296
"13",13,824,676,1296
"14",14,670,636,1296
"15",15,661,638,1296
"16",16,710,851,1296
"17",17,965,1265,1296
"18",18,1005,1292,1296
"19",19,834,886,1296
"20",20,620,697,1296
"21",21,488,431,1296
"22",22,384,312,1296
"23",23,261,193,1296
"24",24,0,0,1296
