"","hour","starts","ends","high"
"1",1,24,7,1848
"2",2,4,1,1848
"3",3,3,1,1848
"4",4,1,2,1848
"5",5,7,7,1848
"6",6,104,547,1848
"7",7,259,1762,1848
"8",8,449,1848,1848
"9",9,311,727,1848
"10",10,218,389,1848
"11",11,521,470,1848
"12",12,627,675,1848
"13",13,549,599,1848
"14",14,543,370,1848
"15",15,923,449,1848
"16",16,1648,513,1848
"17",17,1438,672,1848
"18",18,802,466,1848
"19",19,407,285,1848
"20",20,227,158,1848
"21",21,148,86,1848
"22",22,111,66,1848
"23",23,63,39,1848
"24",24,0,0,1848
